experiment_id,phase,config_description,hash_mode,rate_limit,lockout,captcha,pepper,totp,attack_type,target,target_category,success,total_attempts,time_to_crack,total_time_seconds,avg_latency_ms,attempts_per_second
70,2,Phase 2: ARGON2ID - TOTP,ARGON2ID,False,False,False,False,True,brute_force,weak_user_01,weak,False,100,,24.55071234703064,245.50713106547954,4.073201566882226
71,2,Phase 2: BCRYPT - CAPTCHA,BCRYPT,False,False,True,False,False,brute_force,weak_user_01,weak,False,1,,0.3979763984680176,397.9764241197086,2.512711818714452
72,2,Phase 2: BCRYPT - LOCKOUT,BCRYPT,False,True,False,False,False,brute_force,weak_user_01,weak,True,10,303.8317708969116,303.8317708969116,350.81059129062896,0.03291295038198274
73,2,Phase 2: BCRYPT - LOCKOUT + CAPTCHA,BCRYPT,False,True,True,False,False,brute_force,weak_user_01,weak,False,1,,0.30681777000427246,306.817663444575,3.2592636338699514
74,1,Phase 1: BCRYPT - No protections,BCRYPT,False,False,False,False,False,brute_force,weak_user_01,weak,True,11,3.4920010566711426,3.4920010566711426,352.4543372081861,3.1500563205688397
75,2,Phase 2: BCRYPT - PEPPER,BCRYPT,False,False,False,True,False,brute_force,weak_user_01,weak,True,11,3.4971094131469727,3.4971094131469727,352.38542206731876,3.145454917323087
76,2,Phase 2: BCRYPT - RATE_LIMIT,BCRYPT,True,False,False,False,False,brute_force,weak_user_01,weak,True,11,8.581429719924927,8.581429719924927,359.2641311582906,1.2818376842799841
77,2,Phase 2: BCRYPT - RATE_LIMIT + CAPTCHA,BCRYPT,True,False,True,False,False,brute_force,weak_user_01,weak,False,1,,0.3138313293457031,313.83141442021173,3.1864250203600384
78,2,Phase 2: BCRYPT - RATE_LIMIT + LOCKOUT,BCRYPT,True,True,False,False,False,brute_force,weak_user_01,weak,True,10,303.6577796936035,303.6577796936035,343.4251039217943,0.03293180899264359
79,2,Phase 2: BCRYPT - RATE_LIMIT + LOCKOUT + CAPTCHA + PEPPER + TOTP,BCRYPT,True,True,True,True,True,brute_force,weak_user_01,weak,False,1,,0.3784303665161133,378.43047544138875,2.642494071514794
80,2,Phase 2: BCRYPT - TOTP,BCRYPT,False,False,False,False,True,brute_force,weak_user_01,weak,False,100,,34.88135766983032,348.81357861411345,2.8668608873126598
81,2,Phase 2: SHA256 - CAPTCHA,SHA256,False,False,True,False,False,brute_force,weak_user_01,weak,False,1,,0.11553835868835449,115.53836609089777,8.655134202635972
82,2,Phase 2: SHA256 - LOCKOUT,SHA256,False,True,False,False,False,brute_force,weak_user_01,weak,True,10,302.1382930278778,302.1382930278778,144.73609899065457,0.03309742667764829
83,2,Phase 2: SHA256 - LOCKOUT + CAPTCHA,SHA256,False,True,True,False,False,brute_force,weak_user_01,weak,False,1,,0.14891672134399414,148.91668202722525,6.715162615553584
84,1,Phase 1: SHA256 - No protections,SHA256,False,False,False,False,False,brute_force,weak_user_01,weak,True,11,1.6365752220153809,1.6365752220153809,158.4763499413195,6.721353135515466
85,2,Phase 2: SHA256 - PEPPER,SHA256,False,False,False,True,False,brute_force,weak_user_01,weak,True,11,1.428359031677246,1.428359031677246,146.88566482187437,7.701144989494193
86,2,Phase 2: SHA256 - RATE_LIMIT,SHA256,True,False,False,False,False,brute_force,weak_user_01,weak,True,11,6.5821146965026855,6.5821146965026855,156.29064098848679,1.671195429919308
